Date,Open,High,Low,Close,Adj Close,Volume
2021-12-20,258.000000,258.000000,247.500000,257.000000,251.128876,10354
2021-12-21,258.000000,264.500000,257.000000,264.000000,257.968964,10212
2021-12-22,263.500000,265.000000,260.000000,265.000000,258.946106,10806
2021-12-23,264.000000,268.000000,261.000000,264.000000,257.968964,7667
2021-12-24,264.000000,264.000000,264.000000,264.000000,257.968964,0
2021-12-27,264.000000,272.000000,261.000000,267.500000,261.389008,10404
2021-12-28,268.500000,274.500000,266.000000,274.000000,267.740509,14851
2021-12-29,275.000000,278.000000,271.000000,277.000000,270.671967,30844
2021-12-30,280.000000,281.000000,265.000000,267.000000,260.900421,77739
2021-12-31,267.000000,267.000000,267.000000,267.000000,260.900421,0
2022-01-03,268.000000,274.000000,266.000000,269.000000,262.854736,5196
2022-01-04,270.500000,272.000000,267.500000,270.000000,263.831879,18599
2022-01-05,270.000000,272.000000,268.000000,271.500000,265.297638,4740
2022-01-06,null,null,null,null,null,null
2022-01-07,270.000000,274.500000,265.500000,274.500000,268.229095,2903
2022-01-10,274.000000,277.000000,270.500000,277.000000,270.671967,5122
2022-01-11,279.000000,283.000000,276.000000,280.000000,273.603455,4540
2022-01-12,284.000000,284.000000,278.000000,280.000000,273.603455,4316
2022-01-13,281.000000,281.000000,276.000000,278.000000,271.649139,6700
2022-01-14,279.000000,279.000000,270.000000,276.000000,269.694824,6915
2022-01-17,276.000000,280.000000,273.000000,280.000000,273.603455,1224
2022-01-18,280.000000,280.000000,272.500000,275.000000,268.717651,4501
2022-01-19,275.000000,276.500000,272.000000,275.000000,268.717651,3932
2022-01-20,276.000000,276.000000,268.000000,271.000000,264.809052,44123
2022-01-21,269.000000,269.000000,264.500000,266.500000,260.411835,5234
2022-01-24,266.000000,268.000000,257.000000,265.000000,258.946106,10218
2022-01-25,258.000000,268.000000,258.000000,268.000000,261.877594,8010
2022-01-26,267.000000,279.000000,266.000000,273.000000,266.763367,7181
2022-01-27,273.000000,278.000000,272.000000,276.000000,269.694824,4021
2022-01-28,277.500000,277.500000,267.500000,275.500000,269.206238,5850
2022-01-31,275.500000,275.500000,268.500000,270.000000,263.831879,11317
2022-02-01,271.000000,273.000000,269.000000,271.500000,265.297638,11569
2022-02-02,273.000000,276.500000,269.000000,276.000000,269.694824,13254
2022-02-03,279.000000,283.000000,277.000000,283.000000,276.534912,13421
2022-02-04,282.500000,289.000000,281.000000,286.000000,279.466370,35145
